batter,ERA_range,pitch_type_CH,pitch_type_CU,pitch_type_EP,pitch_type_FC,pitch_type_FF,pitch_type_FS,pitch_type_FT,pitch_type_IN,pitch_type_KC,pitch_type_KN,pitch_type_PO,pitch_type_RB,pitch_type_SC,pitch_type_SI,pitch_type_SL,pitch_type_UN,pitch_type_Unknown,velocity_Slow,velocity_Medium,velocity_Fast,velocity_Very Fast,ERA_Excellent,ERA_Good,ERA_Average,ERA_Poor,ERA_Very Poor
centeju01,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2
changyu01,108,8,47,1,2,0,0,0,21,0,0,0,16,17,1,0,0,12,43,50,14,0,9,10,10,22,57
chapmma01,375,26,118,6,15,0,3,1,91,1,11,0,6,53,9,0,0,43,144,140,64,3,43,25,25,65,217
chavimi01,149,18,29,2,9,0,0,0,33,0,4,0,11,31,5,0,0,19,85,47,8,0,19,16,14,35,65
chiriro01,58,5,21,1,3,0,0,0,11,0,1,0,2,10,1,0,0,5,21,22,10,0,9,10,6,13,20
chishja01,279,24,96,5,25,0,0,0,50,0,7,0,6,33,3,0,0,37,118,100,46,2,38,29,24,42,146
choiji01,168,14,53,7,8,0,0,0,29,0,4,0,2,21,6,0,0,26,77,62,18,0,17,18,12,34,87
chourja01,6,1,1,0,0,0,0,0,2,0,1,0,4,2,0,0,0,2,3,2,0,0,2,0,1,2,1
ciuffni01,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0
clarkta01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
cleavga01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
clemeer01,83,4,20,1,2,0,2,0,17,0,1,0,16,25,3,0,0,8,41,24,9,1,9,8,3,23,40
clemeko01,69,1,23,2,6,0,0,0,13,0,1,0,1,5,2,0,0,16,32,23,12,0,9,6,2,21,31
colasos01,53,5,18,3,3,0,0,1,5,0,0,0,5,10,1,0,0,7,23,18,7,1,3,9,4,16,21
colliza01,59,6,24,3,4,0,0,0,10,0,0,0,10,7,2,0,0,3,20,27,7,0,6,3,2,13,35
confomi01,203,22,68,4,9,0,0,1,32,0,5,0,8,30,2,0,0,30,80,80,29,0,20,15,13,41,114
contrma01,12,0,5,0,3,0,0,1,1,0,0,0,4,0,0,0,1,1,4,4,1,0,0,0,3,1,8
contrwi01,322,24,97,3,17,0,0,1,70,0,8,0,14,66,4,0,2,34,150,102,48,1,24,24,33,61,180
contrwi02,295,17,82,2,19,0,0,0,70,0,12,0,13,63,6,0,0,26,120,109,41,0,33,29,19,63,151
coopega03,293,18,112,2,16,2,0,1,59,0,3,0,4,50,9,0,1,21,100,120,49,3,18,16,16,85,158
corbipa01,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,3,0,2
cordefr02,96,13,39,1,8,0,0,0,8,0,1,0,18,9,2,0,0,15,36,36,13,1,9,9,7,19,52
cordoal01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
correca01,464,44,163,3,24,0,0,1,77,0,13,0,10,87,15,1,1,37,175,183,70,2,31,35,35,102,261
cowseco01,11,0,5,1,0,0,0,0,0,0,1,0,5,2,1,0,0,1,6,3,1,0,1,1,1,0,8
cozendy01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craigwi01,16,1,7,0,3,0,0,0,1,0,0,0,2,2,0,0,0,2,6,6,2,0,3,3,1,3,6
crawfbr01,299,23,106,7,28,0,0,0,55,0,5,0,15,36,8,0,0,32,107,124,45,1,35,32,23,64,145
crawfjp01,444,20,194,9,32,1,0,0,68,0,7,0,14,58,7,0,0,50,161,183,70,0,38,46,44,93,223
croncj01,362,22,121,1,23,0,0,2,69,0,9,0,7,67,5,0,1,42,156,138,44,2,29,20,19,91,203
croneja01,419,41,152,10,18,0,1,1,69,0,4,0,15,55,14,0,4,52,169,154,68,3,47,41,39,75,217
crookna01,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0
croplty01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
crowape01,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
crowewi01,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
cruzne02,283,20,93,3,16,0,0,0,63,0,7,0,11,52,2,0,2,25,115,108,45,0,23,27,20,65,148
cruzon01,107,10,31,3,11,0,0,0,20,0,1,0,4,17,1,0,0,13,41,41,15,1,16,10,7,16,58
cuetojo01,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
culbech01,92,8,25,0,7,0,0,0,15,0,3,0,6,8,2,0,0,24,44,27,6,0,11,13,10,22,36
cuthbch01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dahlda01,50,4,15,3,2,0,0,0,7,0,0,0,18,5,2,0,0,12,22,18,7,0,1,7,4,10,28
dalbebo01,182,13,60,1,12,0,0,1,33,0,4,0,24,29,4,0,0,25,72,63,24,1,18,12,14,35,103
darnatr01,237,18,65,0,22,0,0,0,49,0,11,0,11,41,4,0,1,26,100,77,35,3,22,24,19,44,128
darviyu01,5,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,3
davidma02,6,1,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,3,2,0,0,0,0,1,0,5
davieza02,6,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,2,1,0,1,2
davisbr04,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,2
davishe01,55,3,15,0,5,0,0,0,14,0,4,0,0,7,1,0,0,6,22,21,8,0,5,8,4,18,20
davisja03,10,1,2,0,1,0,0,0,0,0,2,0,1,2,0,0,0,2,6,2,1,0,1,1,2,1,5
davisjd01,263,24,100,3,20,0,1,1,41,0,7,0,12,42,2,0,1,22,109,102,34,2,16,22,22,59,144
davisjo05,59,1,25,0,2,0,0,1,9,0,0,0,0,16,2,0,0,3,28,21,7,0,5,8,2,14,30
daviskh01,22,3,6,0,2,0,0,0,5,0,0,0,5,4,1,0,0,1,10,8,3,0,1,0,3,5,13
davista01,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0
dawsoro01,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
dazayo01,229,18,84,1,4,0,0,1,49,0,3,0,19,38,7,0,5,20,84,88,40,0,22,32,22,52,101
deanau01,14,1,3,1,0,0,0,0,6,0,0,0,3,1,0,0,0,2,7,6,1,0,3,1,1,2,7
degotal01,6,1,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,4,2,0,0,1,2,1,0,2
degroja01,12,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,8,2,0,1,2,2,1,6
deichgr01,4,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,1,0,0,0,0,1,3
dejonch01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
dejonpa01,195,15,63,0,6,0,0,0,55,0,4,0,9,31,3,0,1,17,78,67,40,0,16,12,11,42,114
delacbr01,306,18,88,3,31,0,1,1,72,0,9,0,6,56,5,0,1,21,118,106,52,2,20,22,26,61,177
delacel01,94,12,21,4,10,0,0,0,9,0,2,0,5,18,2,0,0,16,54,21,11,0,12,9,7,15,51
delayja01,79,5,27,0,2,0,0,1,23,0,2,0,0,12,1,0,0,7,29,35,14,0,8,6,8,16,41
deleojo03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
delmoni01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delucjo01,11,0,4,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,3,4,3,0,3,4,0,2,2
deluzbe01,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,3
demertr01,19,3,4,0,0,0,0,0,4,0,1,0,3,2,1,0,0,4,10,6,3,0,2,2,0,1,14
desclan01,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
deshide02,13,0,7,0,2,0,0,0,1,0,0,0,4,1,0,0,0,2,4,5,1,1,2,1,2,3,5
detwiro01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
deverjo01,13,0,8,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,3,5,3,0,1,0,2,3,7
deverra01,504,33,176,14,40,0,0,0,85,0,9,0,33,65,9,0,1,73,204,170,94,1,45,35,36,86,302
diazal02,224,20,63,2,16,0,0,1,35,0,11,0,7,48,4,0,0,24,107,67,31,0,21,23,24,44,112
diazel01,305,29,74,1,18,0,0,0,65,1,8,0,8,70,3,0,2,35,163,92,33,0,24,34,24,77,146
diazis01,47,6,19,2,4,0,0,0,6,0,2,0,0,4,1,0,0,3,19,19,6,0,4,7,4,13,19
diazjo03,73,7,20,1,4,0,0,0,12,0,6,0,2,14,1,0,0,8,39,21,10,0,8,9,12,12,32
diazle01,52,3,21,4,3,1,0,0,10,0,0,0,5,7,0,0,0,3,18,23,8,0,6,7,3,14,22
diazya01,447,29,127,4,37,0,0,0,103,0,20,0,19,77,9,0,3,40,193,149,77,1,51,41,49,82,224
diazya02,112,10,29,4,6,0,0,2,19,0,5,0,9,22,0,0,0,15,50,31,19,0,4,9,11,25,63
diazyu01,1,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
dickeal01,74,5,26,3,4,0,0,0,13,0,1,0,7,11,2,0,0,9,36,21,15,0,6,4,2,20,42
dickeco01,209,14,59,8,18,0,1,1,31,0,6,0,6,30,3,0,3,37,93,74,24,1,30,17,17,44,101
dietrde01,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1
difowi01,66,5,30,1,2,0,0,0,13,0,0,0,2,6,1,0,0,8,19,29,13,0,16,11,6,8,25
dixonbr01,19,2,5,0,2,0,0,0,4,0,0,0,4,4,1,0,0,1,8,5,3,0,1,0,0,3,15
dominja01,9,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,3,2,0,2,0,0,2,5
donaljo02,268,25,78,5,11,0,0,0,59,0,9,0,4,44,5,0,1,31,110,77,58,0,26,27,26,47,142
donovbr01,217,16,86,9,9,0,0,0,34,1,3,0,5,31,2,0,0,27,81,95,32,0,16,24,24,46,107
dorowry01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downsje01,10,1,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,7,2,1,0,1,2,1,2,4
doylebr02,93,9,24,0,3,0,0,0,23,0,5,0,5,15,3,0,0,11,38,34,13,0,12,15,7,16,43
doziehu01,233,15,79,1,4,0,0,1,43,0,7,0,26,50,5,0,0,29,107,75,35,1,28,18,20,39,128
drurybr01,306,23,92,5,12,0,0,1,75,0,8,0,14,53,7,0,2,30,123,121,48,0,28,27,26,76,149
dubonma01,238,15,73,2,19,0,0,2,44,0,9,0,16,49,2,0,0,25,108,87,28,0,27,18,30,52,111
duffyma01,190,18,67,1,8,0,1,1,37,0,5,0,18,31,1,0,2,18,80,66,29,1,23,23,17,43,84
duggast01,83,7,42,1,3,0,0,0,16,0,0,0,6,5,2,0,0,7,22,51,8,0,5,11,8,17,42
dunanjo01,6,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,1,2,0,2,1
dunnida01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
dunnju01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
duranez01,169,15,39,1,9,0,1,0,35,0,8,0,17,36,5,0,0,20,80,54,20,0,25,15,15,34,80
duranja01,171,17,54,8,15,0,0,1,27,1,5,0,25,14,4,0,2,23,73,52,29,0,14,25,13,41,78
duvalad01,278,22,81,0,21,0,0,1,59,0,17,0,21,55,2,0,3,18,121,93,38,2,28,14,16,54,166
dysonja01,29,0,14,2,1,1,0,0,3,0,1,0,2,3,1,0,0,3,11,9,6,0,5,5,4,3,12
eatonad02,53,4,17,5,4,0,0,0,10,0,1,0,9,4,0,0,0,8,24,18,6,0,7,8,5,13,20
eatonna01,33,3,8,0,2,0,1,1,8,0,1,0,9,5,1,0,0,3,15,8,5,0,3,4,4,7,15
edenca01,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
edmanto01,449,44,156,8,38,0,0,1,71,0,2,0,7,61,2,0,0,69,188,161,68,3,54,41,49,108,197
edwarxa01,24,1,9,0,2,0,0,0,5,0,1,0,2,2,1,0,0,4,10,11,2,0,4,4,1,6,9
eickhje01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
ellisdr01,19,0,9,0,0,0,0,0,3,0,0,0,1,5,1,0,0,1,8,6,3,0,1,1,3,5,9
encarch01,62,4,18,1,4,0,0,0,14,0,1,0,10,10,2,0,1,7,24,19,13,0,3,6,2,7,44
encarje01,18,1,2,0,2,0,0,0,4,0,0,0,1,6,0,0,0,3,10,6,0,0,2,1,2,2,11
engelad01,88,8,34,0,5,0,0,1,17,0,4,0,9,14,2,0,0,3,36,36,10,1,6,13,10,16,43
ervinph01,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
escobal02,119,6,39,2,5,0,0,0,30,0,1,0,5,17,4,0,0,15,46,44,21,0,17,12,12,21,57
escobed01,343,17,122,10,26,0,1,1,52,1,1,0,3,38,6,0,0,68,138,129,49,0,34,30,24,70,185
espinpa01,5,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,1,3
espinsa01,276,22,110,0,13,0,0,1,54,0,5,0,3,34,4,0,0,33,103,106,47,3,33,39,18,59,127
estrath01,302,22,100,2,10,0,0,1,67,0,7,0,25,56,3,1,3,30,115,128,44,1,51,27,31,54,139
evansph01,53,4,12,1,1,0,0,0,13,0,0,0,12,15,0,0,1,6,27,18,5,0,10,7,3,11,22
faircst01,78,3,24,0,6,0,0,0,26,0,2,0,11,9,1,0,0,7,25,35,10,2,11,8,4,11,44
fargajo01,14,0,3,0,1,0,0,0,2,0,0,0,0,7,0,0,0,1,6,4,1,0,1,5,1,2,5
fariaja01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
farmeky01,351,41,96,2,22,0,0,3,68,0,9,0,28,70,6,0,1,33,161,122,38,0,35,33,35,86,162
federti01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felicma01,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
fermifr01,61,2,15,3,2,0,0,0,9,0,4,0,4,15,2,0,0,9,28,17,11,0,3,9,3,13,33
fermijo01,14,2,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,3,8,3,0,1,4,2,2,5
fishede01,4,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,1,0,0,1,2
fitzgty01,7,2,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,3,0,0,1,1,0,3,2
flaheja01,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
fletcda02,246,21,66,1,10,0,0,0,65,0,9,0,18,48,4,0,2,20,117,94,22,2,43,31,25,47,100
fletcdo01,28,2,5,1,4,0,0,0,7,0,1,0,6,5,0,0,0,3,13,5,8,0,3,6,1,10,8
florewi01,343,21,109,3,17,0,1,2,84,0,12,0,18,45,7,0,0,42,136,129,54,2,35,34,25,73,176
flories01,30,4,11,3,3,0,0,0,5,0,0,0,5,2,0,0,0,2,9,15,4,0,5,6,1,5,13
floripe01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordmi01,90,10,34,2,7,0,0,2,15,0,0,0,17,5,5,0,0,10,29,35,14,2,6,8,7,20,49
forteni01,121,12,34,2,6,0,1,1,30,0,4,0,0,21,1,0,1,9,51,51,11,1,9,13,11,33,55
fowlede01,8,0,4,0,2,0,0,0,0,0,0,0,3,1,0,0,0,1,3,3,0,1,0,0,1,2,5
fowledu01,11,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,3,8,2,0,0,2,1,1,1,6
foxlu01,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,2,0,0,0,0
fraleja01,190,24,69,6,11,0,0,0,31,0,0,0,24,23,4,0,0,24,73,81,26,1,27,13,9,36,105
francma02,167,14,60,1,14,0,0,1,32,0,2,0,9,33,1,0,2,7,61,56,36,0,11,11,17,43,85
francty01,477,36,142,6,37,0,0,0,87,0,26,0,27,85,8,0,1,49,204,157,63,1,41,39,52,110,235
francwa01,306,24,95,4,18,0,0,1,45,0,4,0,7,44,9,0,2,60,133,100,44,0,39,18,24,62,163
fraziad01,420,28,165,11,35,0,0,0,58,0,5,0,21,59,9,0,0,52,152,163,63,2,51,39,45,83,202
frazicl01,61,5,28,0,3,0,1,0,8,0,0,0,11,6,3,0,0,7,20,22,13,0,5,5,7,15,29
frazito01,4,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,1,0,0,1,2
freelky01,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,1,0,2,1
freemfr01,624,56,220,13,36,0,0,2,93,0,10,0,14,88,11,0,1,95,255,241,87,2,49,46,33,134,362
freemmi01,12,2,2,0,1,0,0,0,3,0,0,0,4,1,0,0,0,3,7,2,2,0,2,0,0,2,8
freemty01,62,2,22,0,3,0,1,0,10,0,2,0,10,12,1,0,0,9,28,27,4,0,10,8,5,11,28
freitda01,4,0,1,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,1,2,1,0,2,0,1,0,1
frelisa01,49,8,20,0,2,0,0,0,7,0,1,0,15,6,0,0,0,6,22,16,11,0,9,7,6,10,17
friedma01,15,2,3,1,2,0,0,0,5,0,0,0,0,1,0,0,0,1,6,6,1,0,5,0,1,3,6
friedtj01,201,16,86,4,12,0,0,0,39,0,0,0,9,17,5,0,0,22,75,84,33,0,28,32,16,45,80
fryda01,31,2,10,0,1,0,0,0,8,0,1,0,7,4,0,0,0,5,12,13,4,1,3,1,1,9,17
fuentjo01,71,5,23,0,7,0,0,1,11,0,0,0,5,15,2,0,0,7,35,19,9,0,8,9,11,15,28
galero01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallaca01,57,7,19,0,7,0,0,0,6,0,1,0,12,11,0,0,0,6,24,22,6,0,4,4,11,11,27
galleza01,6,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,3,1,0,1,0,2,1,2
gallojo01,215,13,85,7,12,0,2,2,29,0,3,0,10,30,5,0,1,26,93,83,28,0,25,18,12,27,133
galvifr01,89,6,26,0,9,0,0,0,16,0,2,0,3,8,1,0,0,21,38,27,13,0,11,7,9,18,44
gamelbe01,182,10,73,4,9,0,0,1,37,0,3,0,6,18,2,0,0,25,65,79,27,1,23,8,19,43,89
garciad02,451,31,133,5,27,0,1,0,90,0,22,0,18,92,8,0,0,43,191,149,68,1,52,42,38,79,240
garciar01,43,3,15,2,2,0,0,0,9,0,0,0,14,11,0,0,0,1,16,23,3,0,6,4,1,10,22
garciav01,236,15,70,2,16,0,0,0,52,0,3,0,5,56,4,0,1,17,96,95,27,0,22,24,21,44,125
garcide02,24,1,2,0,1,0,0,0,10,0,0,0,3,8,0,0,0,2,11,8,3,0,2,4,1,4,13
garcigr01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
garcijo02,66,1,18,2,8,0,0,1,17,0,4,0,5,11,2,0,0,2,25,23,6,0,8,8,6,14,30
garcile02,177,11,64,8,12,0,0,0,30,0,1,0,16,20,1,0,1,30,64,77,20,0,38,18,19,34,68
garcilu04,284,20,95,5,27,0,0,0,41,0,10,0,10,47,4,0,0,35,128,86,44,2,30,40,28,56,130
garcima01,135,13,39,1,2,0,0,0,28,1,9,0,8,22,4,0,0,18,69,49,12,0,12,10,13,34,66
garciro02,16,1,5,0,0,0,0,1,5,0,0,0,2,1,1,0,0,2,4,7,3,0,1,1,2,2,10
gardnbr01,88,2,39,1,4,0,0,0,21,0,0,0,2,12,2,0,0,7,29,40,15,0,9,12,13,16,38
garliky01,67,2,27,1,4,0,0,1,9,0,1,0,8,11,0,0,0,11,23,21,15,0,5,2,5,14,41
garnedu01,22,2,10,0,1,0,0,0,4,0,0,0,0,1,0,0,0,4,7,6,8,0,5,0,0,4,13
garrebr01,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
garrest01,86,4,29,0,4,0,0,0,22,0,3,0,1,13,2,0,0,10,32,31,18,0,6,7,7,15,51
garvemi01,188,12,63,4,7,0,0,1,35,0,8,0,12,33,1,0,0,24,77,69,27,1,15,15,4,43,111
gausmke01,10,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,1,0,3,2,0,3,2
gelofza01,75,3,20,2,4,0,0,0,23,0,3,0,5,14,1,0,0,5,33,28,12,0,10,6,6,18,35
giambtr01,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1
gibsoky01,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,2,0
gimenan01,342,26,110,7,31,0,0,0,49,0,13,0,21,55,12,0,0,41,148,110,47,0,62,31,33,74,142
giolilu01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
gittech01,7,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,1,6
godoyjo01,8,1,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,3,5,2,1,0,0,1,1,0,6
goinsry01,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goldspa01,532,33,172,8,37,1,0,0,126,0,12,0,7,84,9,0,1,51,213,194,90,1,44,47,40,102,299
gombeau01,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1
gomesya01,256,17,83,0,15,0,0,1,56,0,7,0,20,37,5,0,1,35,120,82,41,0,18,17,18,58,145
gonsoto01,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,2,0,0,0
