"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_era","woba","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","whiff_percent","swing_percent","n_fastball_formatted","fastball_avg_speed","n_breaking_formatted","breaking_avg_speed","n_offspeed_formatted","offspeed_avg_speed"
"Wainwright, Adam","425794","2021","828","21",21,6,"3.05",".273","88.2",34.3,6.2,35.6,19.7,43.8,"59.7","87.5","33.8","73.5","6.4","82.7"
"Greinke, Zack","425844","2021","697","30",17.2,5.2,"4.16",".309","88.3",35.3,6.5,35.4,21.8,46,"45.9","89","31.7","77.1","22.4","86.4"
"Hill, Rich","448179","2021","661","21",22.7,8.3,"3.86",".313","88.3",37,8.9,34.8,23.1,46.1,"52.4","87.7","44.6","71.4","3","80.9"
"Morton, Charlie","450203","2021","756","16",28.6,7.7,"3.34",".264","88.1",29.9,4.9,32.5,28.9,46,"58","94.1","36.7","80.6","5.3","86.4"
"Lester, Jon","452657","2021","627","25",14.5,8.8,"4.71",".352","88.3",33.5,7.7,37.2,20,46.4,"73.4","87.6","8.4","72.6","18.2","81.3"
"Scherzer, Max","453286","2021","693","23",34.1,5.2,"2.46",".248","87.9",33.6,8,34.3,34.1,50.6,"56","93.6","29","82.8","14.9","85"
"Happ, J.A.","457918","2021","671","30",18.2,7.2,"5.79",".361","90.2",38.4,11.6,41.8,19.3,47.9,"71.5","90.5","16.4","82.5","12.1","86.1"
"Lynn, Lance","458681","2021","641","18",27.5,7,"2.69",".264","87.7",31.7,5.8,36,26.3,50.2,"92.3","91.9","3","82.1","4.6","87.2"
"Miley, Wade","489119","2021","690","17",18.1,7.2,"3.37",".317","85.7",31.8,6.1,34.2,23.7,47.5,"64","86.6","8.8","77.4","27.3","81.9"
"Minor, Mike","501985","2021","669","26",22.3,6.1,"5.05",".321","88.5",35,9.3,35.9,24.3,48.7,"42.8","90.9","37.5","83.4","19.6","85.2"
"Gibson, Kyle","502043","2021","754","17",20.6,8.5,"3.71",".293","88.8",30.6,4.9,39.1,24.9,44.8,"61.6","91.7","25.1","82","13.3","84.8"
"Darvish, Yu","506433","2021","681","28",29.2,6.5,"4.22",".301","88.2",35.1,8.8,34.9,27.3,47.6,"32.9","94.1","62.2","83.1","4.9","88.8"
"Bumgarner, Madison","518516","2021","613","24",20.2,6.4,"4.67",".315","88.8",38,7.5,38.5,21.5,49,"70.7","88.2","21.5","77.8","7.8","83.8"
"Harvey, Matt","518774","2021","582","19",16.3,6.4,"6.27",".355","89.5",36.4,7.9,40.9,18.9,48,"54.8","93.2","33.3","84","11.9","85.3"
"Kelly, Merrill","518876","2021","667","21",19.5,6.1,"4.44",".319","89",33.1,6.3,39.6,20.3,49.2,"64.5","91.5","18.1","81.3","17.4","87.2"
"Pérez, Martín","527048","2021","509","19",19.1,7.1,"4.74",".358","88.6",40.3,9.3,42.2,19.3,46,"67.3","91.5","8.4","78.7","24.3","84.8"
"Anderson, Tyler","542881","2021","703","27",19.1,5.4,"4.53",".319","87",35.7,8.5,33,23.1,54.2,"73.8","88.4","1.5","77.7","24.6","80.9"
"Cole, Gerrit","543037","2021","726","24",33.5,5.6,"3.23",".276","88.7",33,9.8,38.6,31.9,48.9,"48","97.7","37.9","86.3","14.2","89.8"
"DeSclafani, Anthony","543101","2021","676","19",22.5,6.2,"3.17",".276","88.9",32.7,8.1,38.8,24,48.9,"45.7","94","43.8","87","10.5","88.2"
"Eovaldi, Nathan","543135","2021","764","15",25.5,4.6,"3.75",".298","88",37,6.3,36.4,25.9,51.6,"54.8","95.9","32.5","81.6","12.7","87.9"
"Gray, Sonny","543243","2021","575","19",27,8.7,"4.19",".300","86.6",31.6,4.7,32.1,26.1,43,"53.7","92.3","43","80.8","3.3","88.2"
"Hendricks, Kyle","543294","2021","785","31",16.7,5.6,"4.77",".345","86.3",37.4,8.4,33,20.1,48.6,"60.6","87.3","11.7","73.2","27.7","80"
"Lyles, Jordan","543475","2021","769","38",19,7.3,"5.15",".354","89.9",35.5,9.1,41.6,23.5,48.2,"51.2","92.4","41.5","82","7.3","86.4"
"Ryu, Hyun Jin","547943","2021","701","24",20.4,5.3,"4.37",".313","89.6",33.7,8.5,41.6,22.6,47.5,"61.5","88.4","13.1","74.1","25.4","79.9"
"Wheeler, Zack","554430","2021","849","16",29.1,5.4,"2.78",".257","84.6",31.2,4.6,28.5,26.5,51.9,"85.7","95.4","10.7","81.5","3.7","90.5"
"Corbin, Patrick","571578","2021","751","37",19,8,"5.82",".362","89.4",32.9,9.2,41.2,24.8,47.9,"56.4","92.4","39.4","80.4","4.2","81.5"
"Heaney, Andrew","571760","2021","558","29",26.9,7.3,"5.83",".341","89.3",33.8,9.4,40.8,28.2,48.7,"59.4","92","22.6","79.4","18","83.8"
"Matz, Steven","571927","2021","647","18",22.3,6.6,"3.82",".315","87.8",32.2,7,37.9,22.3,46.9,"51.9","94.5","24.7","81.3","23.4","85.1"
"Richards, Garrett","572070","2021","617","19",18.6,9.7,"4.87",".356","91.1",34.6,8.5,47.8,22.4,48.9,"53.6","94.3","39.5","85.1","6.9","90.6"
"Keuchel, Dallas","572971","2021","720","25",13.2,8.2,"5.28",".356","88.3",34.4,9,39.8,21,44.2,"64.4","86.8","7","77.8","28.6","79.6"
"Stroman, Marcus","573186","2021","729","17",21.7,5.9,"3.02",".284","89.1",33.6,6.5,42,26.7,48.5,"60.1","91.4","23.9","84.9","16.1","86.1"
"Kikuchi, Yusei","579328","2021","666","27",24.5,9.3,"4.41",".325","91.9",37.4,11,47,27.7,48.5,"70.6","93.2","18.9","82.5","10.5","86.2"
"Foltynewicz, Mike","592314","2021","586","35",16.6,6.1,"5.44",".355","89.8",37.2,9.2,43,18.3,47.4,"51.1","93.5","36.2","80.9","12.7","85.3"
"Gausman, Kevin","592332","2021","775","20",29.3,6.5,"2.81",".265","89.1",30.6,7.1,40.9,31.3,52.4,"52.7","94.6","6.2","82","41.1","83.6"
"Gray, Jon","592351","2021","644","21",24.4,9,"4.59",".320","89",30.4,6.9,38.2,26.7,45.3,"47.6","94.9","44.4","85.2","8","87.6"
"Ray, Robbie","592662","2021","773","33",32.1,6.7,"2.84",".287","90.4",34.3,9.8,43.1,32.3,52,"59.5","94.8","36.9","87.6","3.6","88.2"
"Smyly, Drew","592767","2021","546","27",21.4,7.5,"4.48",".342","88.8",36.1,10.1,39,24.9,49.9,"58","91.2","42","78.9",,
"Taillon, Jameson","592791","2021","603","24",23.2,7.3,"4.30",".309","88.9",33.9,8.2,40.4,26.4,50.8,"58.7","93.6","35.3","83.4","6","88"
"Walker, Taijuan","592836","2021","654","26",22.3,8.4,"4.47",".301","89.1",30.5,10,39.4,23.4,46.2,"57.2","94.2","28.4","83.6","14.3","89.4"
"Montas, Frankie","593423","2021","778","20",26.6,7.3,"3.37",".290","89.3",34.4,8.7,42.3,29.6,50.5,"64.8","95.7","12.9","88.1","22.4","87.5"
"Rodriguez, Eduardo","593958","2021","675","19",27.4,7,"4.74",".330","86.5",37.4,6.8,33.6,26.3,48.7,"68.9","91.5","8.1","82.1","23","85.4"
"Gonzales, Marco","594835","2021","585","29",18.5,7.2,"3.96",".321","88.1",37.4,11.4,37,20.4,48,"64.5","87.7","15.4","75.2","20.1","79.3"
"Pivetta, Nick","601713","2021","661","24",26.5,9.8,"4.53",".316","89.7",33.4,8.2,40.4,24.6,48.1,"51.9","94.8","45.4","82.1","2.7","87.9"
"Bassitt, Chris","605135","2021","637","15",25,6.1,"3.15",".274","87.6",32.9,6.5,33.2,23.8,47.7,"73","91.9","16.8","75","10.2","85.3"
"Davies, Zach","605200","2021","668","25",17.1,11.2,"5.78",".366","89.8",36.2,9.1,43.3,22.3,43.2,"60","87.8","7.5","74.7","32.5","78.5"
"Houser, Adrian","605288","2021","599","12",17.5,10.7,"3.22",".297","87.1",28.1,5,36,18.4,44.4,"67.3","93.7","21.6","81.4","11.1","87.7"
"López, Jorge","605347","2021","555","21",20.2,10.1,"6.07",".369","89.7",35,9.3,43.5,20.6,43.7,"56.9","95.3","29.3","82.7","13.8","88.5"
"Musgrove, Joe","605397","2021","748","22",27.1,7.2,"3.18",".284","87.8",33.8,7.2,38.5,29.3,46.9,"43.6","92.2","51.5","83.1","4.8","87.1"
"Nola, Aaron","605400","2021","749","26",29.8,5.2,"4.63",".297","88.9",33.3,7.1,37.4,27.9,49.2,"53.2","92.5","27","78.5","19.8","85.2"
"Snell, Blake","605483","2021","550","16",30.9,12.5,"4.20",".305","89.3",39.3,11,41.2,31.6,44.4,"52.5","95.1","37.6","84","9.9","88.3"
"Woodruff, Brandon","605540","2021","708","18",29.8,6.1,"2.56",".252","86.2",36,5.8,32.7,28.2,51.1,"60.4","96.4","25.4","84.7","14.2","86.5"
"Rodón, Carlos","607074","2021","534","13",34.6,6.7,"2.37",".247","89.2",29.9,6.6,36.2,33.2,50.5,"58.7","95.4","28.9","85.2","12.4","85.2"
"Fedde, Erick","607200","2021","590","23",21.7,8.1,"5.47",".340","89.8",31.1,9.3,40.6,21.9,44.9,"66.4","92.3","23.4","79.7","10.2","87.7"
"Freeland, Kyle","607536","2021","515","20",20.4,7.4,"4.33",".349","88.4",34.5,8.2,35.3,21.1,46.2,"40.2","91.4","42.6","83.3","17.2","85.8"
"Means, John","607644","2021","590","30",22.7,4.4,"3.62",".294","87.9",37.1,10.1,37.8,25.3,50.5,"47.9","92.8","24.8","80.8","27.3","83.4"
"Fried, Max","608331","2021","667","15",23.7,6.1,"3.04",".278","86.5",31.2,6.3,34.3,24.3,49,"50.4","93.8","47.5","79.2","2.2","84.7"
"Giolito, Lucas","608337","2021","719","27",28,7.1,"3.53",".288","87.7",37.4,6.7,34.2,32.2,50.5,"43.9","93.8","24.3","85","31.8","81.5"
"Irvin, Cole","608344","2021","768","23",16.3,5.5,"4.24",".323","89.3",35.9,7.3,39.3,19.2,52,"59.9","90.7","18.1","81.9","22","84.2"
"Wacha, Michael","608379","2021","528","23",22.9,5.9,"5.05",".334","89.9",39.8,10.5,43,23,53.6,"64.3","92","6.3","76.2","29.4","86.9"
"Márquez, Germán","608566","2021","756","21",23.3,8.5,"4.40",".303","88.9",32.5,5.3,39.3,27,47.8,"52.9","94.7","45.1","85.8","2.1","86.1"
"Quantrill, Cal","615698","2021","616","16",19.6,7.6,"2.89",".296","87.6",31.4,6.8,34.5,21.9,47,"77","92.3","9","84.1","14","85"
"Kaprielian, James","621076","2021","502","19",24.5,8.2,"4.07",".314","90.1",37.5,9.3,42.3,27.2,45.7,"58.8","92.9","25.5","83","15.7","83.8"
"Buehler, Walker","621111","2021","815","19",26,6.4,"2.47",".255","88.2",29.2,6.8,37.1,26.3,49.2,"68.2","94.4","27","82.5","4.8","91.5"
"McCullers Jr., Lance","621121","2021","684","13",27,11.1,"3.16",".283","89.8",25.9,5.3,40.7,30.2,41.6,"35.5","93.8","50.8","85.1","13.7","85.8"
"Mills, Alec","621219","2021","517","16",16.8,6.6,"5.07",".343","88.3",33.2,4.9,39.3,18.3,46,"60.1","89","23","71.8","16.8","79.1"
"Berríos, José","621244","2021","781","22",26.1,5.8,"3.52",".286","88.4",36.6,9.1,38.3,23.7,47,"56.3","93.9","30.5","82.9","13.2","84.8"
"Wood, Alex","622072","2021","585","14",26,6.7,"3.83",".298","89.7",33.1,5.3,40.5,27.3,47.5,"46.4","91.8","31.6","83.9","22","85.3"
"Castillo, Luis","622491","2021","803","19",23.9,9.3,"3.98",".318","87.7",28.7,4.5,36.9,28.7,49.3,"52.1","97.2","17.4","86.4","30.5","88.3"
"Senzatela, Antonio","622608","2021","670","12",15.7,4.8,"4.42",".323","90.4",30.7,5.9,42.7,19.5,48.1,"56.1","94.6","37.7","84.8","6.2","86"
"Flexen, Chris","623167","2021","741","19",16.9,5.4,"3.61",".311","89.5",33.9,6.3,38.1,19.2,49.8,"69.4","91.2","15.3","77.2","15.3","82.7"
"Urías, Julio","628711","2021","745","19",26.2,5.1,"2.96",".266","86",31.7,5.3,30.3,24.1,51.3,"48.4","94.1","34.2","81.4","17.3","86.8"
"Crowe, Wil","640444","2021","524","25",21.2,10.9,"5.48",".369","88.8",33.4,9.4,37.1,25.3,44.7,"46.7","93.5","35.1","83.8","18.2","85.1"
"Manaea, Sean","640455","2021","754","25",25.7,5.4,"3.91",".310","90.2",34.5,8,41.2,27.1,51.5,"60.1","92.1","15.6","82.6","24.3","84.5"
"Alzolay, Adbert","640470","2021","519","25",24.7,6.6,"4.58",".312","89.3",33.8,9.9,38.1,26.8,49.3,"52","93.4","40.9","86","7.1","85.6"
"Dunning, Dane","641540","2021","511","13",22.3,8.4,"4.51",".336","89.2",31.4,8.1,43.5,23.2,46.3,"60.7","89.8","26.2","79.4","13","84.5"
"Keller, Brad","641745","2021","613","18",19.6,10.4,"5.39",".358","90",37,10.9,45,22.2,44.8,"58.9","93.9","34.8","86.1","6.2","90"
"Mahle, Tyler","641816","2021","759","24",27.7,8.4,"3.75",".308","87.8",34.1,6.5,34.3,28.4,45.2,"57.8","93.4","26.3","86.7","15.9","86.4"
"Yarbrough, Ryan","642232","2021","653","25",17.9,4.1,"5.11",".325","84.8",37.6,7.8,28.2,21.1,48.8,"53.9","83","18","71.1","28","78.4"
"Peralta, Freddy","642547","2021","580","14",33.6,9.7,"2.81",".252","86.6",33.3,6,31.8,34.1,45.6,"53","93.4","37.3","79.4","9.7","88"
"Alcantara, Sandy","645261","2021","837","21",24,6,"3.19",".279","87.6",29.9,6.1,39.4,27.3,53.3,"49.8","97.8","26.7","89.8","23.5","91.8"
"Cease, Dylan","656302","2021","708","20",31.9,9.6,"3.91",".295","89.2",37,9.9,38.8,34.6,46.8,"46.8","96.7","45.8","83.9","7.4","78.1"
"Montgomery, Jordan","656756","2021","661","19",24.5,7.7,"3.83",".299","87.9",35.4,7.4,36.5,29,50.4,"52","91.1","23.7","80","24.4","82.5"
"Webb, Logan","657277","2021","596","9",26.5,6,"3.03",".274","88.1",28.2,5.6,38.8,28.7,46.6,"48.7","92.8","27.7","82.4","23.6","86.2"
"Ohtani, Shohei","660271","2021","533","15",29.3,8.3,"3.18",".279","88.4",31.9,7.1,39.9,28.9,48,"56.3","93.7","25.6","81.2","18.1","88.1"
"Bubic, Kris","663460","2021","556","22",20.5,10.6,"4.43",".337","88.8",34.8,9,39.6,23.4,44.8,"52","90.9","17.2","78.5","30.8","80"
"Allard, Kolby","663465","2021","534","29",19.5,5.8,"5.41",".331","89.8",34.7,10.6,39,19.8,48.4,"72.1","89.7","11.1","75.9","16.8","83.6"
"Mize, Casey","663554","2021","612","24",19.3,6.7,"3.71",".308","89.1",33,10,40,22.6,45.8,"52","93.6","34.8","85","13.2","85.8"
"McClanahan, Shane","663556","2021","517","14",27.3,7.2,"3.43",".304","91.7",36.8,10.7,45.7,32,50.2,"40.9","96.4","51.1","87","8","89.2"
"Singer, Brady","663903","2021","586","14",22.4,9,"4.91",".338","88.5",32.7,5.6,37.6,25.1,43.7,"58","93.7","38.2","85.4","3.8","88"
"Brubaker, JT","664141","2021","537","28",24,6.9,"5.36",".340","88.9",33.4,8.8,38.7,27.3,47.5,"49.1","93.1","44.6","85.4","6.3","87.2"
"Valdez, Framber","664285","2021","572","12",21.9,10.1,"3.14",".288","90.8",21.4,5.8,44.4,26,42.4,"57.1","92.4","30.8","77.9","12.1","87.5"
"Anderson, Ian","666120","2021","535","16",23.2,9.9,"3.58",".293","88.3",29.4,9.5,38.7,28.5,46.1,"47.4","94.6","21.1","80.7","31.4","88.1"
"Plesac, Zach","668676","2021","598","23",16.7,5.7,"4.67",".314","90.6",32.2,9.4,43.4,23.1,51,"41.7","92.8","34","84.6","24.3","85.7"
"Gallen, Zac","668678","2021","523","19",26.6,9.4,"4.30",".313","89.2",32.7,7.9,43,23.3,44.3,"62.5","93","20.9","82.3","16.7","86.1"
"Burnes, Corbin","669203","2021","657","7",35.6,5.2,"2.43",".232","85.5",29.5,3.1,30.5,36.5,49.2,"62.9","95.5","27.4","83.5","9.6","90.7"
"Gilbert, Logan","669302","2021","503","17",25.4,5.6,"4.68",".305","90.1",36.4,8.8,44.6,27.1,50.9,"61.5","95.3","30.8","81.5","7.7","79.9"
"Skubal, Tarik","669373","2021","634","35",25.9,7.4,"4.34",".332","90.5",35.3,13.9,45.1,26.7,48.9,"56","94.4","29.6","83.6","14.4","82.6"
"Rogers, Trevor","669432","2021","550","6",28.5,8.4,"2.64",".270","87.7",34.9,5,36.7,30.7,49.4,"57.7","94.5","14.8","81.8","27.4","84.8"
"Garcia, Luis","677651","2021","633","19",26.4,7.9,"3.48",".297","88.1",34.1,7.3,38.7,30.5,47.1,"67.1","90.9","21.9","78.2","11","83.4"
"Wainwright, Adam","425794","2022","803","16",17.8,6.7,"3.71",".306","87.8",37.4,6.5,36.6,16.9,43.5,"62.8","86.8","31.1","72.9","6.1","82.2"
"Greinke, Zack","425844","2022","585","14",12.5,4.6,"3.68",".321","88.9",34.4,6.8,39.6,17.3,46.2,"55.8","88.3","27.7","74.6","16.5","86.5"
"Verlander, Justin","434378","2022","666","12",27.8,4.4,"1.75",".222","87.8",32.5,6.3,34.8,24.2,53.7,"50.4","95","47.1","84.1","2.4","86.2"
"Kluber, Corey","446372","2022","689","20",20.2,3,"4.34",".316","87.1",35.8,6.9,34.7,23.9,51.2,"62.5","87.5","27.3","80.7","10.3","82.9"
"Hill, Rich","448179","2022","526","15",20.7,7,"4.27",".325","88.2",31.6,8.2,34,22,47.4,"49.1","87.4","46.6","71.3","4.3","82.8"
"Morton, Charlie","450203","2022","728","28",28.2,8.7,"4.34",".320","89.3",38,9.5,42.1,29.2,45.6,"53.5","93.7","38","81.3","8.5","87.2"
"Scherzer, Max","453286","2022","565","13",30.6,4.2,"2.29",".254","87.8",32.2,8.4,33.9,30.6,52.2,"54.8","93.2","32.7","82.1","12.6","84.1"
"Cueto, Johnny","456501","2022","651","15",15.7,5.1,"3.35",".310","87.7",33.7,7.3,35.9,17.6,49.8,"62.8","90","17.1","83","20.1","82.6"
"Lynn, Lance","458681","2022","512","19",24.2,3.7,"3.99",".304","88.4",34.3,6.7,38.7,28.5,52.3,"85.1","91.4","11.1","82.9","3.8","85.8"
"Carrasco, Carlos","471911","2022","645","17",23.6,6.4,"3.97",".327","88.4",35.2,7,39.5,27.6,52.1,"46.8","92.9","28.6","84.3","24.6","87.4"
"Quintana, Jose","500779","2022","679","8",20.2,6.9,"2.93",".286","86.5",34.4,5.5,35.8,23.8,47.9,"52.4","91.3","28.1","78.4","19.5","86.4"
"Gibson, Kyle","502043","2022","718","24",20.1,6.7,"5.05",".331","88.6",34.8,7.5,37.5,25.1,48.5,"61.6","90.9","27.7","82.3","10.8","84.7"
"Cobb, Alex","502171","2022","631","9",23.9,6.8,"3.73",".296","89.2",26.3,3.7,41.1,24.8,45,"42.1","94.8","15.3","83.8","42.5","89.6"
"Darvish, Yu","506433","2022","771","22",25.6,4.8,"3.10",".259","88.5",31.2,8.8,37.1,25.1,49.7,"38.4","94.4","54.1","83.7","7.4","89.2"
"Bumgarner, Madison","518516","2022","698","25",16,7,"4.88",".357","90.3",37.7,9.8,43.2,18.1,48.4,"69.8","89.2","18.9","78.6","11.3","85.5"
"Kelly, Merrill","518876","2022","804","21",22,7.6,"3.37",".289","88.5",31.2,8.3,36.5,23.6,48.5,"65","92.1","13.7","82.2","21.3","88.6"
"Pérez, Martín","527048","2022","821","11",20.6,8.4,"2.89",".289","88.2",30.9,4.3,34.9,21,44.5,"67.5","91.6","4.9","80.4","27.6","84.4"
"Anderson, Tyler","542881","2022","707","14",19.5,4.8,"2.57",".271","85",34.2,4.9,28.5,24.2,52.7,"67.1","88.9","1.2","73.2","31.6","79"
"Cole, Gerrit","543037","2022","793","33",32.4,6.3,"3.50",".283","89.4",32.5,9.5,40.2,33.9,48.2,"58.2","97.1","33.4","86.8","8.4","89.7"
"Lyles, Jordan","543475","2022","774","26",18.6,6.7,"4.42",".341","88.6",35.1,10.4,38.8,21.9,46.3,"52","91.1","37.3","79.7","10.7","86.3"
"Stripling, Ross","548389","2022","536","12",20.7,3.7,"3.01",".268","88.9",34.7,9.2,37.2,23.5,51.5,"41.2","91.5","31.6","83.7","27.2","82.6"
"Wheeler, Zack","554430","2022","607","13",26.9,5.6,"2.82",".275","85.9",34,7.7,34.5,25.1,50.5,"86.3","94.2","11.9","81.3","1.8","89.5"
"Corbin, Patrick","571578","2022","713","27",18,6.9,"6.31",".383","90.8",40.1,11,45,20.7,47.4,"62.3","92.6","29.4","81.7","8.3","82.4"
"Mikolas, Miles","571945","2022","805","25",19,4.8,"3.29",".279","87.8",35.1,6.9,36,18.5,48.9,"49.7","93.3","46.4","82.5","4","82.7"
"Stroman, Marcus","573186","2022","569","16",20.9,6.3,"3.50",".291","89",32,6.6,40.7,22.4,45.9,"59.2","91.7","28.8","84.9","12","87"
"Gausman, Kevin","592332","2022","725","15",28.3,3.9,"3.35",".304","89",38.1,8.1,38.5,29.4,55.9,"48.8","95","14.4","84.4","36.8","85.2"
"Gray, Jon","592351","2022","521","17",25.7,7.5,"3.96",".292","88",34.8,6.1,38,25.9,48.9,"50.5","95.9","40.2","84.2","9.3","88.7"
"Ray, Robbie","592662","2022","775","32",27.4,8,"3.71",".315","89.7",34,7.9,39.1,30,51.5,"60.2","93.4","39.1","86.8","0.7","86.9"
"Syndergaard, Noah","592789","2022","565","14",16.8,5.5,"3.94",".312","87.1",37.7,7.8,34,20.1,49.9,"48.5","93.5","31.7","81.9","19.7","88.5"
"Taillon, Jameson","592791","2022","728","26",20.7,4.4,"3.91",".308","88.5",34.5,8.3,36.2,23,49.1,"57.9","93.4","33.6","83.9","8.4","87.8"
"Walker, Taijuan","592836","2022","649","15",20.3,6.9,"3.49",".293","89.3",33.7,7.3,40.6,23.6,47.3,"47.7","92.8","24.8","81.4","27.6","88.8"
"Montas, Frankie","593423","2022","608","18",23.4,7.1,"4.05",".309","87.6",31.8,8,34.2,27.6,51.3,"59","95","15.6","87.2","25.5","86.4"
"Gonzales, Marco","594835","2022","783","30",13.2,6.4,"4.13",".337","86.7",32.3,7.2,35,18.3,51,"56.1","87.6","13.4","76.6","30.5","79.4"
"Gomber, Austin","596295","2022","529","20",18,6.4,"5.56",".347","88.1",35.7,8.5,35.9,21.9,49,"40.7","91","41.7","80.8","17.6","82"
"Pivetta, Nick","601713","2022","773","27",22.6,9.4,"4.56",".330","90.7",36.3,9,45.6,23.5,47.6,"67.9","91.6","29.8","77.7","2.3","87.1"
"Bassitt, Chris","605135","2022","745","19",22.4,6.6,"3.42",".291","85.7",31.1,6.6,32.8,23.6,46.5,"63.9","91.9","30.1","75.5","6.1","85.4"
"Bundy, Dylan","605164","2022","595","24",15.8,4.7,"4.89",".329","88.9",35.3,8.9,38.3,21.1,52.2,"46.7","89.1","34.6","77","18.7","81.1"
"Davies, Zach","605200","2022","570","21",17.9,9.1,"4.09",".315","87.4",31.6,8,34.5,21.4,42.2,"59.9","89.4","6.9","74.9","33.3","79.7"
"Musgrove, Joe","605397","2022","740","22",24.9,5.7,"2.93",".292","86.4",34.7,6,32.5,25.5,46.5,"50.2","91.8","43.5","82.2","6.3","86.5"
"Nola, Aaron","605400","2022","807","19",29.1,3.6,"3.25",".264","87.7",34.3,7.1,31.6,27.9,49.5,"58.7","91.9","26.5","78.6","14.7","85.9"
"Snell, Blake","605483","2022","535","11",32,9.5,"3.38",".282","90.1",39.2,7.4,39.5,32.8,47.9,"55.5","95.8","39.4","86","5","87.1"
"Springs, Jeffrey","605488","2022","549","14",26.2,5.6,"2.46",".272","87.5",34,5.9,37.7,29.5,50.3,"40.5","91.4","24.8","85.4","34.7","81.1"
"Thompson, Zach","605507","2022","543","19",16.6,8.5,"5.18",".346","88.3",34.2,6.4,39.6,24,47,"70.6","89.6","20.9","76.6","8.5","85.7"
"Woodruff, Brandon","605540","2022","620","18",30.6,6.8,"3.05",".282","88.8",34.1,7.1,37.5,31.1,49.4,"59.9","96.1","23.8","85.9","16.3","86.1"
"Rodón, Carlos","607074","2022","710","12",33.4,7.3,"2.88",".255","89",33.6,6.5,39.8,31.2,49.8,"61.2","95.5","36.9","84.5","2","84.6"
"Fedde, Erick","607200","2022","573","21",16.4,10.1,"5.81",".362","89.5",34.9,8.1,43.5,18.3,43,"67.6","91.2","28.8","78.4","3.6","86"
"Freeland, Kyle","607536","2022","766","19",17.1,6.9,"4.53",".346","89.8",35.2,9.7,42.4,20.8,47.5,"46.1","89.9","40.2","83.4","13.7","84.8"
"Fried, Max","608331","2022","733","12",23.2,4.4,"2.48",".255","86.2",29.4,4,32.1,25.9,49.7,"45.8","93.9","40.1","80.3","14.1","86.5"
"Giolito, Lucas","608337","2022","698","24",25.4,8.7,"4.90",".344","88.8",37.9,7.5,39,28.5,47.4,"47.7","92.6","26.8","83.8","25.5","81"
"Irvin, Cole","608344","2022","741","25",17.3,4.9,"3.98",".306","89.4",36.1,9.6,39.5,20.5,52,"61","90.4","20.7","77.5","18.3","83"
"Wacha, Michael","608379","2022","515","18",20.2,6,"3.32",".301","88.2",35.4,9.6,35.4,20.7,50.5,"62.8","91.8","7.4","74.7","29.8","84.3"
